styleName,variableName
primary/$color-primary-default,color/primary/primary-default
primary/$color-primary-hover,color/primary/primary-hover
primary/$color-primary-active,color/primary/primary-active
primary/$color-primary-disable,color/primary/primary-disable
primary/$color-primary-fill,color/primary/primary-fill
primary/$color-primary-fill-active,color/primary/primary-fill-active
secondary/$color-secondary-default,color/secondary/secondary-default
secondary/$color-secondary-disable,color/secondary/secondary-disable
secondary/$color-secondary-fill,color/secondary/secondary-fill
secondary/$color-secondary-fill-active,color/secondary/secondary-fill-active
secondary/$color-secondary-fill-hover,color/secondary/secondary-fill-hover
secondary/$color-secondary-transp-fill,color/secondary/secondary-transp-fill
secondary/$color-secondary-transp-hover,color/secondary/secondary-transp-hover
secondary/$color-secondary-transp-active,color/secondary/secondary-transp-active
text-gray/$color-text1-1,color/text-gray/text1-1
text-gray/$color-text1-2,color/text-gray/text1-2
text-gray/$color-text1-3,color/text-gray/text1-3
text-gray/$color-text1-4,color/text-gray/text1-4
text-white/$color-text2-1,color/text-white/text2-1
text-white/$color-text2-2,color/text-white/text2-2
text-white/$color-text2-3,color/text-white/text2-3
text-white/$color-text2-4,color/text-white/text2-4
border/$color-border1-1,color/border/border1-1
border/$color-border1-2,color/border/border1-2
fill/$color-fill1-1,color/fill/fill1-1
fill/$color-fill1-2,color/fill/fill1-2
bg/white/$color-bg1-1,color/bg/white/bg1-1
bg/gray/$color-bg2-1,color/bg/gray/bg2-1
disabled/$color-disabled-fill,color/disabled/disabled-fill
disabled/$color-disabled-border,color/disabled/disabled-border
disabled/$color-disabled-text,color/disabled/disabled-text
disabled/$color-disabled-bg,color/disabled/disabled-bg
status/success/$color-success-default,color/status/success/success-default
status/success/$color-success-hover,color/status/success/success-hover
status/success/$color-success-active,color/status/success/success-active
status/success/$color-success-disabled,color/status/success/success-disabled
status/success/$color-success-fill,color/status/success/success-fill-default
status/success/$color-success-fill-hover,color/status/success/success-fill-hover
status/success/$color-success-fill-active,color/status/success/success-fill-active
status/danger/$color-danger-default,color/status/danger/danger-default
status/danger/$color-danger-hover,color/status/danger/danger-hover
status/danger/$color-danger-active,color/status/danger/danger-active
status/danger/$color-danger-disabled,color/status/danger/danger-disabled
status/danger/$color-danger-fill,color/status/danger/danger-fill-default
status/danger/$color-danger-fill-hover,color/status/danger/danger-fill-hover
status/danger/$color-danger-fill-active,color/status/danger/danger-fill-active
status/warning/$color-warning-default,color/status/warning/warning-default
status/warning/$color-warning-hover,color/status/warning/warning-hover
status/warning/$color-warning-active,color/status/warning/warning-active
status/warning/$color-warning-disabled,color/status/warning/warning-disabled
status/warning/$color-warning-fill,color/status/warning/warning-fill-default
status/warning/$color-warning-fill-hover,color/status/warning/warning-fill-hover
status/warning/$color-warning-fill-active,color/status/warning/warning-fill-active
status/info/$color-info-default,color/status/info/info-default
status/info/$color-info-hover,color/status/info/info-hover
status/info/$color-info-active,color/status/info/info-active
status/info/$color-info-disabled,color/status/info/info-disabled
status/info/$color-info-fill,color/status/info/info-fill-default
status/info/$color-info-fill-hover,color/status/info/info-fill-hover
status/info/$color-info-fill-active,color/status/info/info-fill-active
