styleName,variableName
primary/$color-primary-default,color/primary/primary-default
status/success/$color-success-default,color/status/success/success-default
secondary/$color-secondary-default,color/secondary/secondary-default
secondary/$color-secondary-disable,color/secondary/secondary-disable
secondary/$color-secondary-fill-active,color/secondary/secondary-fill-active
bg/white/$color-bg1-1,color/bg/white/bg1-1
bg/gray/$color-bg2-1,color/bg/gray/bg2-1
text-gray/$color-text1-1,color/text-gray/text1-1
text-gray/$color-text1-2,color/text-gray/text1-2
text-gray/$color-text1-3,color/text-gray/text1-3
text-gray/$color-text1-4,color/text-gray/text1-4
text-white/$color-text2-1,color/text-white/text2-1
text-white/$color-text2-2,color/text-white/text2-2
text-white/$color-text2-3,color/text-white/text2-3
text-white/$color-text2-4,color/text-white/text2-4
border/$color-border1-1,color/border/border1-1
border/$color-border1-2,color/border/border1-2
fill/$color-fill1-1,color/fill/fill1-1
fill/$color-fill1-2,color/fill/fill1-2
disabled/$color-disabled-fill,color/disabled/disabled-fill
disabled/$color-disabled-border,color/disabled/disabled-border
